Country/Area,Population numbers for 2016a,GNI per capita for 2016 in US dollarsb,Income levelc,Reported number of road traffic deaths,death estimate,Estimated road traffic death rate per 100 000 populationd ,Drivers/ Passengers of 4-wheeled vehicles,Drivers/Passengers of 2- or 3- wheelers,Cyclists,Pedestrians,Other or unspecified users
Dominica,73543,6750,Middle,10,8,10.9,10,0,60,10,20
Dominican Republic,10648791,6390,Middle,3118,3684,34.6,11,67,1,17,4
Ecuador,16385068,5820,Middle,2894,3490,21.3,5.2,19.1,1.8,19.8,54
Egypt,95688680,3460,Middle,8211,9287,9.7,45.1,5.5,1.2,26.9,21.2
El Salvador,6344722,3920,Middle,1215,1411,22.2,32.1,14.2,1.4,49,3.3
Equatorial Guinea,1221490,6550,Middle,41,300,24.6,, , , , 
Eritrea,4954645,520g,Low,130,1255,25.3,36.2,1.5,9.2,25.4,27.7
Estonia,1312442,17750,High,71,80,6.1,52.1,1.4,7,31,8.5
Eswatini,1343098,2830,Middle,203,361,26.9,53.7h,0.5,2,43.8,0
Ethiopia,102403200,660,Low,4352,27326,26.7,0, , ,36.7,63.3
Fiji,898760,4840,Middle,60,86,9.6,63.3h, , ,36.7,0
Finland,5503132,44730,High,252,260,4.7,64.7,8.7,9.5,10.7,6.3
France,64720688,38950,High,3477,3585,5.5,54.4,21.1,4.7,16.1,3.8
Gabon,1979786,7210,Middle,54,460,23.2,, , , , 
Gambia,2038501,440,Low,139,605,29.7,, , , , 
Georgia,3925405,3810,Middle,581,599,15.3,44.9,0.5,0.7,26.5,27.4
Germany,81914672,43660,High,3206,3327,4.1,47.8,18.8,12.3,15.3,5.9
Ghana,28206728,1380,Middle,1802,7018,24.9,12,17.9,3.3,46.1,20.7
Greece,11183716,18960,High,824,1026,9.2,40.3,32.4,2.2,18.1,7
Grenada,107317,8830,Middle,10,10,9.3,, , , , 
Guatemala,16582469,3790,Middle,2058,2758,16.6,19.4,32.7,0.4,39.2,8.3
Guinea,12395924,490,Low,458,3490,28.2,, , , , 
Guinea-Bissau,1815698,620,Low,122,565,31.1,, , , , 
Guyana,773303,4250,Middle,128,190,24.6,24.2,21.9,12.5,29.7,11.7
Honduras,9112867,2150,Middle,1407,1525,16.7,18.6,24.3,4.1,27.9,25.1
Hungary,9753281,12570,High,607,756,7.8,44.3,10.5,12,25,8.1
Iceland,332474,56990,High,18,22,6.6,72.2,11.1,0,11.1,5.6
India,1324171392,1680,Middle,150785,299091,22.6,17.9,39.6,1.7,10.4,30.4
