,General information,,,Road traffic deaths,,,,Road user death (%),,,,,VEHICLE STANDARDS,,,,,,,,,,,,,,,National drink driving law,Based on BAC / BrAC,% road traffic deaths involving alcohol,National maximum legal BAC levels (g/dl),,,Motorcycle helmet law,,,,,,,Children passengers on motorcycles   ,,,number of registered vehicles,National mobile phone law,Mobile phone law ,,Modelled number of road traffic deathsd,,Estimated road traffic death rate per 100 000 populationd ,National speed limit law,Maximum default speed limits (km/h),,,Provider training and certification ,,,
Country/Area,Population numbers for 2016a,GNI per capita for 2016 in US dollarsb,Income levelc,Reported number of road traffic deaths,Modelled number of road traffic deathsd,,Estimated road traffic death rate per 100 000 populationd ,Drivers/ Passengers of 4-wheeled vehicles,Drivers/Passengers of 2- or 3- wheelers,Cyclists,Pedestrians,Other or unspecified users,,,,,,,,,Child restraint systems law,"National seat
belt law",Seat-belt wearing rates (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prehospital providers,Nurses,Specialist doctors,
,,,,,Point estimate,95% Confidence Interval,,,,,,,Seat-belts,Seat-belt anchorages,Frontal impact,Side impact, Electronic stability control,Pedestrian protection,Child seats,Motorcycle anti-lock bracking system,National child restraint law,,Drivers only ,, Front-seat occupants,Rear-seat occupants,All occupants,,,,General population , Young / novice drivers,Professional / commercial drivers,National motorcycle helmet law,Applies to driver,"Applies to adult
passengers",Applies to all roads,Applies to all engines,Helmet fastening required,Standard referred to and / or specified,,,,,,Applies to hand-held phone use,Applies to hands-free phone use,Point estimate,95% Confidence Interval,,,urban,rural,motorways,Formal certification pathway,Post graduate courses in emergency and trauma care,Emergency medicine ,Trauma surgery
Bulgaria,7131494,7470,Middle,708,730, - ,10.2,63.8,7.8,4.9,16.7,6.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0.0,0.0,80.0,Yes,Yes,0.9,≤0.05,≤0.05,≤0.05,Yes,Yes,Yes,Yes,Yes,No,No,Prohibited under 12 yrs,,,4031748,Yes,Yes,No,730, - ,10.2,Yes,50,90,140,Yes,Yes,Yes,Yes
Burkina Faso,18646432,640,Low,878,5686,4499 - 6872,30.5,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,≤0.05,≤0.02,≤0.02,Yes,Yes,Yes,Yes,Yes,No,Yes,Prohibited under 5 yrs,,,2106292,Yes,Yes,No,5686,4499 - 6872,30.5,Yes,50,90,No,No,-,-,No
Burundi,10524117,280,Low,112e,3651,2926 - 4376,34.7,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,111236,Yes,Yes,Yes,3651,2926 - 4376,34.7,Yes,50,100,100,No,No,No,Yes
Cabo Verde,539560,2970,Middle,41,135,118 - 152,25,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,<0.08,<0.08,<0.08,Yes,Yes,Yes,Yes,No,Yes,Yes,Prohibited under 7 yrs,,,64955,Yes,Yes,No,135,118 - 152,25,Yes,50,90,120,No,No,-,-
Cambodia,15762370,1140,Middle,1852,2803,2381 - 3226,17.8,6.2,73.5,2.3,9.6,8.4,No,No,No,No,No,No,No,No,Yes,Yes,0,,0.0,0.0,0.0,Yes,Yes,13,<0.05,<0.05,<0.05,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,3751715,Yes,Yes,No,2803,2381 - 3226,17.8,Yes,40,90,100,No,Yes,Yes,Yes
Cameroon,23439188,1200,Middle,1879,7066,5670 - 8463,30.1,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,Yes,No,No,Prohibited under 5 yrs,,,758145,Yes,Yes,Yes,7066,5670 - 8463,30.1,Yes,60,110,No,No,No,No,No
Canada,36289824,43660,High,1858e,2118, - ,5.8,64.3,10.8,2.5,15.2,7.2,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,95.7,,95.2,89.2,95.3,Yes,Yes,29.6,0.04 - 0.08,0.00 - 0.08,0.04 - 0.08,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,23923806,Yes,Yes,No,2118, - ,5.8,Yes,50,50  - 100   ,80 -  100   ,-,Yes,Yes,Yes
Central African Republic,4594621,370,Low,193,1546,1209 - 1884,33.6,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,No,Yes,No,Prohibited under 5 yrs,,,37475,Yes,Yes,Yes,1546,1209 - 1884,33.6,Yes,60,110,No,-,Yes,-,-
Chad,14452543,720,Low,1122f,3990,3110 - 4870,27.6,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0.0,0.0,0.0,Yes,Yes,–,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,No,No,No,Prohibited under 5 yrs,,,1124000,Yes,Yes,Yes,3990,3110 - 4870,27.6,Yes,60,110,No,Yes,No,No,Yes
Chile,17909754,13530,High,1675,2245, - ,12.5,42,8.7,5.7,36,7.7,No,No,No,No,No,No,No,No,Yes,Yes,76,,59.0,14.0,49.6,Yes,Yes,13,≤ 0.03,≤ 0.03,≤ 0.03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,4960945,Yes,Yes,No,2245, - ,12.5,Yes,60,100,120,No,Yes,Yes,Yes
