,General information,,,Road traffic deaths,,,,Road user death (%),,,,,VEHICLE STANDARDS,,,,,,,,,,,,,,,National drink driving law,Based on BAC / BrAC,% road traffic deaths involving alcohol,National maximum legal BAC levels (g/dl),,,Motorcycle helmet law,,,,,,,Children passengers on motorcycles   ,,,number of registered vehicles,National mobile phone law,Mobile phone law ,,Modelled number of road traffic deathsd,,Estimated road traffic death rate per 100 000 populationd ,National speed limit law,Maximum default speed limits (km/h),,,Provider training and certification ,,,
Country/Area,Population numbers for 2016a,GNI per capita for 2016 in US dollarsb,Income levelc,Reported number of road traffic deaths,Modelled number of road traffic deathsd,,Estimated road traffic death rate per 100 000 populationd ,Drivers/ Passengers of 4-wheeled vehicles,Drivers/Passengers of 2- or 3- wheelers,Cyclists,Pedestrians,Other or unspecified users,,,,,,,,,Child restraint systems law,"National seat
belt law",Seat-belt wearing rates (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prehospital providers,Nurses,Specialist doctors,
,,,,,Point estimate,95% Confidence Interval,,,,,,,Seat-belts,Seat-belt anchorages,Frontal impact,Side impact, Electronic stability control,Pedestrian protection,Child seats,Motorcycle anti-lock bracking system,National child restraint law,,Drivers only ,, Front-seat occupants,Rear-seat occupants,All occupants,,,,General population , Young / novice drivers,Professional / commercial drivers,National motorcycle helmet law,Applies to driver,"Applies to adult
passengers",Applies to all roads,Applies to all engines,Helmet fastening required,Standard referred to and / or specified,,,,,,Applies to hand-held phone use,Applies to hands-free phone use,Point estimate,95% Confidence Interval,,,urban,rural,motorways,Formal certification pathway,Post graduate courses in emergency and trauma care,Emergency medicine ,Trauma surgery
Peru,31773840,5950,Middle,2696,4286,3898 - 4674,13.5,2.5,0.6,0.2,8.1,88.6,No,No,No,No,No,No,No,No,Yes,Yes,58.2,,15.8,0.4,32.3,Yes,Yes,9.3,≤0.05,≤0.05,≤ 0.025,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,5604789,Yes,Yes,No,4286,3898 - 4674,13.5,Yes,60,60,100,No,Yes,Yes,Yes
Philippines,103320224,3580,Middle,10012e,12690, - ,12.3,0.3,4.7,0.1,1,93.9,No,No,No,No,No,No,No,No,No,Yes,79.7,,0,0,0,Yes,Yes,–,<0.05,<0.05,0.00,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,9251565,Yes,Yes,No,12690, - ,12.3,Yes,40,80,No,No,Yes,Yes,Yes
Poland,38224408,12680,High,3026,3698, - ,9.7,46.8,11.2,9,28.7,4.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,95,,96,76,94,Yes,Yes,12.7,< 0.02,< 0.02,< 0.02,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,27409106,Yes,Yes,No,3698, - ,9.7,Yes,50,90,140,Yes,Yes,Yes,No
Portugal,10371627,19850,High,563,768, - ,7.4,47.6,18.3,5.9,21.8,6.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,96.4,,95.7,77.2,94.9,Yes,Yes,29.2,< 0.05,< 0.02,< 0.02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 7 yrs,,,6590094,Yes,Yes,No,768, - ,7.4,Yes,50,90,120,Yes,Yes,Yes,Yes
Qatar,2569804,75660g,High,178,239, - ,9.3,48.3,2.2,2.8,32,14.6,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,No,2.2,—,—,—,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,1330487,Yes,Yes,No,239, - ,9.3,Yes,100,120,120,Yes,Yes,Yes,Yes
Republic of Korea,50791920,27600,High,4292,4990, - ,9.8,0,20.5,5.9,39.9,33.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,94,,83,30,84,Yes,Yes,11.2,<0.05,<0.05,<0.05,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,25680967,Yes,Yes,No,4990, - ,9.8,Yes,80,80,120,Yes,Yes,Yes,Yes
Republic of Moldova,4059608,2120,Middle,346,394, - ,9.7,17.6,4.3,1.4,18.5,58.1,No,No,No,No,No,No,No,No,Yes,Yes,65.5,,61.8,17.5,0,Yes,Yes,9.4,≤ 0.03,≤ 0.03,≤ 0.03,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 12 yrs,,,894253,Yes,Yes,No,394, - ,9.7,Yes,50,110,110,Yes,Yes,Yes,No
Romania,19778084,9470,Middle,1913,2044, - ,10.3,46.1,4.4,9,37.2,3.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,0,0,Yes,Yes,5.6,≤ 0.08,≤ 0.08,≤ 0.08,Yes,Yes,Yes,Yes,Yes,No,No,Prohibited under 14 yrs,,,7014661,Yes,Yes,No,2044, - ,10.3,Yes,50,90,130,Yes,Yes,Yes,Yes
Russian Federation,143964512,9720,Middle,20308,25969, - ,18,57.6,5.9,2,29.2,5.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,76,,66,20,0,Yes,Yes,22.9,≤0.03o,≤0.03o,≤0.03o,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 12 yrs,,,54014259,Yes,Yes,No,25969, - ,18,Yes,60,90,110,-,-,-,-
Rwanda,11917508,700,Low,593,3535,2690 - 4380,29.7,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,–,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,Yes,Yes,No,Not restricted,,,180137,No,−,−,3535,2690 - 4380,29.7,Yes,80,80,80,Yes,No,No,No
Saint Lucia,178015,7670,Middle,15,63, - ,35.4,46.7,20,13.3,13.3,6.7,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,–,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,35681,Yes,No,No,63, - ,35.4,Yes,24,24,56,No,No,No,No
Samoa,195125,4100,Middle,17e,22,20 - 25,11.3,41.2,0,5.9,47.1,5.9,No,No,No,No,No,No,No,No,No,Yes,100,,100,100,100,Yes,Yes,–,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,Yes,Yes,No,Not restricted,,,25235,Yes,Yes,No,22,20 - 25,11.3,Yes,56,56,−,Yes,Yes,No,No
San Marino,33203,51810g,High,0,0, - ,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0,,0,0,0,Yes,Yes,–,< 0.05,< 0.05,< 0.05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,54956,Yes,Yes,No,0, - ,0,Yes,70,70,No,No,No,No,No
Sao Tome and Principe,199910,1730,Middle,23,55,43 - 68,27.5,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,–,<0.12,<0.12,<0.12,Yes,Yes,Yes,Yes,No,Yes,Yes,Prohibited under 7 yrs,,,34050,Yes,Yes,No,55,43 - 68,27.5,Yes,50,90,120,Yes,Yes,Yes,Yes
Saudi Arabia,32275688,21750,High,9031,9311,8268 - 10354,28.8,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,Yes,0,,0,0,0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 16 yrs,,,6895799,Yes,Yes,No,9311,8268 - 10354,28.8,Yes,80,120,No,No,No,Yes,Yes
Senegal,15411614,950,Low,604,3609,3052 - 4165,23.4,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,No,–,—,—,—,Yes,No,Yes,Yes,No,No,No,Not restricted,,,468 051,Yes,Yes,Yes,3609,3052 - 4165,23.4,Yes,No ,90,110,Yes,Yes,Yes,Yes
Serbia,8820083,5280,Middle,607,649, - ,7.4,46.3,8.7,9.4,23.1,12.5,No,No,No,No,No,No,No,No,Yes,Yes,77.0,,75.1,10.1,66.2,Yes,Yes,17,≤0.03,0.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 12 yrs,,,2282401,Yes,Yes,No,649, - ,7.4,Yes,50,100,120,Yes,No,No,No
Seychelles,94228,15410,High,15,15, - ,15.9,46.7,20,6.7,20,6.7,No,No,No,No,No,No,No,No,Yes,Yes,0,,0,0,0,Yes,Yes,–,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,Yes,No,No,Prohibited under 10 yrs,,,23076,Yes,Yes,No,15, - ,15.9,Yes,25 - 80 ,80,80,Yes,Yes,Yes,Yes
Singapore,5622455,51880,High,141,155, - ,2.8,7.8,44,14.2,33.3,0.7,No,No,No,No,No,No,No,No,Yes,Yes,0,,0,0,0,Yes,Yes,6.4,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 10 yrs,,,933534,Yes,Yes,No,155, - ,2.8,Yes,70,−,90,Yes,Yes,Yes,Yes
Slovakia,5444218,16810,High,275,330, - ,6.1,50.2,8.7,7.6,29.1,4.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,0,0,Yes,Yes,6.1,0.00,0.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 12 yrs,,,2606412,Yes,Yes,No,330, - ,6.1,Yes,50,90,130,Yes,Yes,Yes,Yes
Slovenia,2077862,21660,High,130,134, - ,6.4,46.9,19.2,10,16.9,6.9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90.4,,91.8,68.6,82.2,Yes,Yes,32,≤ 0.05,0.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 12 yrs,,,1468439,Yes,Yes,No,134, - ,6.4,Yes,50,90,130,No,No,Yes,No
Solomon Islands,599419,1880,Middle,11,104,94 - 115,17.4,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,0,,0,0,0,Yes,Yes,–,<0.05,<0.05,<0.05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,0,No,−,−,104,94 - 115,17.4,Yes,−,−,−,No,No,No,No
Somalia,14317996,…,Low,165,3884,3023 - 4745,27.1,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,0,,0,0,0,Yes,No,–,—,—,—,No,—,—,—,—,—,—,Not restricted,,,59457,No,−,−,3884,3023 - 4745,27.1,Yes,40,No,No,Yes,Yes,Yes,Yes
South Africa,56015472,5480,Middle,14071,14507, - ,25.9,44.9,0.3,3.2,38.4,13.1,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,33,,31,0,0,Yes,Yes,57.5,<0.05,<0.05,<0.02,Yes,Yes,Yes,Yes,Yes,Yes,No,Not restricted,,,0,Yes,Yes,No,14507, - ,25.9,Yes,60,100,120,No,No,No,No
South Sudan,12230730,820g,Low,130,3661,2976 - 4346,29.9,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,0,,0,0,0,Yes,No,–,—,—,—,No,—,—,—,—,—,—,Not restricted,,,69647,No,−,−,3661,2976 - 4346,29.9,Yes,50,No,No,Yes,No,No,Yes
Spain,46347576,27520,High,1810,1922, - ,4.1,46.5,21.9,3.7,21.5,6.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90.3,,90.5,80.6,88.3,Yes,Yes,"17 Males, 6.7
Females",≤ 0.05,≤0.03,≤0.03,Yes,Yes,Yes,Yes,Yes,No,Yes,Prohibited under 7 / 12 yrs,,,32986384,Yes,Yes,No,1922, - ,4.1,Yes,50,90,120,No,No,Yes,Yes
Sri Lanka,20798492,3780,Middle,3003,3096,2777 - 3415,14.9,6.2,50.8,8.1,29.2,5.7,No,No,No,No,No,No,No,No,No,Yes,75,,75,75,0,Yes,Yes,–,< 0.08,< 0.08,< 0.08,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,6795469,Yes,Yes,No,3096,2777 - 3415,14.9,Yes,50,70,100,No,No,Yes,No
Sudan,39578828,2140,Middle,2311,10178,8635 - 11722,25.7,0,0,0,28.6,71.4,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,No,0.3,—,—,—,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,1252740,Yes,Yes,Yes,10178,8635 - 11722,25.7,Yes,50,90,No,No,No,Yes,No
Suriname,558368,7070,Middle,74,81, - ,14.5,33.8,45.9,4.1,14.9,1.4,No,No,No,No,No,No,No,No,Yes,Yes,75,,75,8,0,Yes,Yes,–,≤ 0.05,≤ 0.05,≤ 0.05,Yes,Yes,Yes,Yes,No,Yes,Yes,Not restricted,,,228388,Yes,Yes,No,81, - ,14.5,Yes,40,80,80,Yes,No,No,No
Sweden,9837533,54630,High,270,278, - ,2.8,53.7,16.3,8.1,15.6,6.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,98,,96,90,97,Yes,Yes,24,< 0.02,< 0.02,< 0.02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,6102914,Yes,No,No,278, - ,2.8,Yes,50,110,120,No,Yes,Yes,No
Switzerland,8401739,81240,High,216,223, - ,2.7,34.7,22.7,15.3,23.1,4.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,94,,94,86,0,Yes,Yes,13,< 0.05,< 0.01,< 0.01,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,5980512,Yes,Yes,No,223, - ,2.7,Yes,50,80,120,No,Yes,Yes,Yes
Syrian Arab Republic,18430452,1840g,Middle,714,4890,4009 - 5772,26.5,18.8,6.4,5.9,64.7,4.2,No,No,No,No,No,No,No,No,No,Yes,90,,90,0,0,Yes,No,–,—,—,—,Yes,Yes,No,Yes,Yes,No,No,Not restricted,,,2396544,Yes,Yes,Yes,4890,4009 - 5772,26.5,Yes,−,−,−,Yes,Yes,Yes,Yes
Tajikistan,8734951,1110,Middle,427,1577,1449 - 1704,18.1,57.4h,0,2.3,40.3,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,No,4.2,—,—,—,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 12 yrs,,,439972,Yes,Yes,No,1577,1449 - 1704,18.1,Yes,60,90,110,Yes,Yes,Yes,Yes
Thailand,68863512,5640,Middle,21745,22491,20265 - 24717,32.7,12.3,74.4,3.5,7.6,2.3,Yes,Yes,No,No,No,Yes,No,No,No,Yes,58,,40,0,0,Yes,Yes,14.1,≤ 0.05,≤ 0.02,0.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,37338139,Yes,Yes,No,22491,20265 - 24717,32.7,Yes,80,90,120,Yes,Yes,Yes,Yes
The former Yugoslav Republic of Macedonia,2081206,4980,Middle,148e,134, - ,6.4,46.6,9.5,6.1,33.1,4.7,No,No,No,No,No,No,No,No,Yes,Yes,21,,19.8,3.1,14.6,Yes,Yes,1.4,≤0.05,< 0.01,≤0.009,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,442962 ,Yes,Yes,No,134, - ,6.4,Yes,50,90,130,Yes,Yes,Yes,Yes
Timor-Leste,1268671,2180g,Middle,71,161,138 - 184,12.7,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,–,≤ 0.05,≤ 0.05,≤ 0.05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,146596,Yes,Yes,No,161,138 - 184,12.7,Yes,50,90,120,Yes,Yes,No,Yes
Togo,7606374,540,Low,514,2224,1800 - 2649,29.2,17.3,71.6,0,0,11.1,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,64118,Yes,Yes,Yes,2224,1800 - 2649,29.2,No,−,−,−,Yes,Yes,Yes,Yes
Tonga,107122,4020,Middle,18,18,,16.8,66.7,0,0,27.8,5.6,No,No,No,No,No,No,No,No,No,No,0,,0,0,0,Yes,Yes,77,<0.03o,<0.03o,<0.03o,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,8154,No,−,−,18,,16.8,Yes,50,70,70,No,No,No,No
Trinidad and Tobago,1364962,15680,High,135,165, - ,12.1,57.8,2.2,0.7,31.1,8.1,No,No,No,No,No,No,No,No,Yes,Yes,0,,0,0,0,Yes,Yes,–,≤0.08,≤0.08,≤0.08,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,831803,Yes,Yes,No,165, - ,12.1,yes,50,80,No,No,Yes,Yes,No
Tunisia,11403248,3690,Middle,1443,2595,2321 - 2869,22.8,49.3h,22.9,2.5,24.6,0.7,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,1.6,<0.03,0.00,0.00,Yes,Yes,Yes,Yes,Yes,No,Yes,Prohibited under 6 yrs,,,2015601,Yes,Yes,No,2595,2321 - 2869,22.8,Yes,50,90,110,No,Yes,Yes,Yes
Turkey,79512424,11180,Middle,7300,9782, - ,12.3,21.7,14.9,1.9,23.4,38,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,50.1,,40.6,0,0,Yes,Yes,3.3,≤0.05,≤0.05,≤0.02,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,21090424,Yes,Yes,Yes,9782, - ,12.3,Yes,50,110,120,Yes,Yes,Yes,Yes
Turkmenistan,5662544,6670,Middle,543,823,765 - 880,14.5,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,–,< 0.05,< 0.05,< 0.05,Yes,Yes,Yes,Yes,Yes,No,No,Prohibited under 12 yrs,,,0,Yes,Yes,Yes,823,765 - 880,14.5,Yes,60,90,110,Yes,Yes,Yes,Yes
Uganda,41487964,660,Low,3503,12036,9454 - 14618,29,21.3,33.4,5.8,39.5,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,0.8,≤0.08,≤0.08,0.00,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,1594962,Yes,Yes,No,12036,9454 - 14618,29,Yes,50,100,No,No,No,Yes,No
Ukraine,44438624,2310,Middle,4687,6089, - ,13.7,34,8.7,7.1,41.9,8.4,No,No,No,No,No,No,No,No,Yes,Yes,0,,0,0,0,Yes,Yes,6.7,≤ 0.02,≤ 0.02,≤0.02,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 12 yrs / 145 cm,,,14433709,Yes,Yes,No,6089, - ,13.7,Yes,60,90,130,Yes,Yes,Yes,No
United Arab Emirates,9269612,40480,High,725,1678,1435 - 1921,18.1,54.5,5.5,1.5,24.3,14.2,No,No,No,No,No,No,No,No,Yes,Yes,0,,0,0,0,Yes,Yes,1.8,≤ 0.01,≤ 0.01,≤ 0.01,Yes,Yes,Yes,Yes,Yes,No,No,Not restricted,,,3391125,Yes,Yes,No,1678,1435 - 1921,18.1,Yes,−,−,−,Yes,No,Yes,No
United Kingdom,65788572,42390,High,1804e,2019, - ,3.1,46.2,20.5,5.5,23.7,4.1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,95.3,,94.6,90.3,97.5,Yes,Yes,"13 (GB), 23 (NI)",≤ 0.08 ,≤ 0.08 ,≤ 0.08 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,38388214,Yes,Yes,No,2019, - ,3.1,Yes,48,96,112,Yes,Yes,Yes,Yes
United Republic of Tanzania,55572200,900,Low,3256,16252,13130 - 19374,29.2,38.5,22.7,8,29.9,0.8,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,1,≤0.08,≤0.08,0.00,Yes,Yes,No,Yes,Yes,No,Yes,Not restricted,,,2163623,No,−,−,16252,13130 - 19374,29.2,Yes,50,No,No,No,Yes,Yes,Yes
United States of America,322179616,56180,High,35092e,39888, - ,12.4,63.9,14.2,2.3,15.3,4.2,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,90.5,,90.1,74.8,90.1,Yes,Yes,29,≤0.08,0.00 - 0.08 ,0.00 - 0.08,Yes,Nor,Nor,No,No,No,Yes,Not restricted,,,281312446,Yes,No,No,39888, - ,12.4,Yes,  32 - 128 ,40 - 128 ,40 - 128 ,Yes,Yes,Yes,Yes
Uruguay,3444006,15230,High,446,460, - ,13.4,30.7,45.7,7,16.6,0,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,69.1,,62.8,33,62.8,Yes,Yes,–,0.00,0.00,0.00,Yes,Yes,Yes,Yes,Yes,No,Yes,Prohibited until footrests can be reached,,,2342026,Yes,Yes,No,460, - ,13.4,Yes,45,90,90,No,No,Yes,Yes
Uzbekistan,31446796,2220,Middle,2496,3617, - ,11.5,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,No,3.6,—,—,—,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 12 yrs,,,0,Yes,Yes,Yes,3617, - ,11.5,Yes,70,100,No,-,-,-,-
Vanuatu,270402,3170g,Middle,9,43,39 - 48,15.9,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,41,,20,10,20,Yes,No,67,—,—,—,Yes,Yes,Yes,No,Yes,Yes,Yes,Not restricted,,,0,No,−,−,43,39 - 48,15.9,No,−,−,−,No,Yes,No,No
Venezuela (Bolivarian Republic of),31568180,11760g,Middle,7028e,10640, - ,33.7,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,Yes,0,,0,0,0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,No,No,Prohibited under 10 yrs,,,7999760,Yes,Yes,No,10640, - ,33.7,No,−,−,−,Yes,Yes,Yes,Yes
Viet Nam,94569072,2050,Middle,8417,24970,21576 - 28363,26.4,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,–,0.00 — 0.05v,0.00 — 0.05v,0.00 — 0.05v,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,50666855,Yes,Yes,No,24970,21576 - 28363,26.4,yes,60,90,120,No,Yes,Yes,Yes
West Bank and Gaza Strip,4790705,3230,Middle,159,252,189 - 333,5.3,52.2,2.5,1.9,32.7,10.7,No,No,No,No,No,No,No,No,Yes,Yes,0,,0,0,0,Yes,No,–,—,—,—,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,268365,Yes,Yes,No,252,189 - 333,5.3,Yes,50,80,110,No,Yes,Yes,Yes
Zimbabwe,16150362,940,Low,1721,5601,4602 - 6599,34.7,26.7,10.2,12.2,13.7,37.2,No,No,No,No,No,No,No,No,No,Yes,0,,0,0,0,Yes,Yes,–,<0.08,<0.08,<0.08,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,1198584,Yes,Yes,No,5601,4602 - 6599,34.7,Yes,60,80,120,Yes,No,No,No
