"","","Applicability of national motorcycle helmet law to all occupants","Applicability of national motorcycle helmet law to all occupants","Applicability of national motorcycle helmet law to all occupants"
"Country","Year"," Drivers"," Adult passengers"," Child passengers"
"United Arab Emirates"," 2017","Yes","Yes","Not restricted"
"United Kingdom of Great Britain and Northern Ireland"," 2017","Yes","Yes","Not restricted"
"United Republic of Tanzania"," 2017","Yes","No","Not restricted"
"United States of America"," 2017","No","No","Not restricted"
"Uruguay"," 2017","Yes","Yes","Prohibited until footrests can be reached"
"Uzbekistan"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Vanuatu"," 2017","Yes","Yes","Not restricted"
"Venezuela (Bolivarian Republic of)"," 2017","Yes","Yes","Prohibited under 10 yrs"
"Viet Nam"," 2017","Yes","Yes","Not restricted"
"Zimbabwe"," 2017","Yes","Yes","Not restricted"
